,ISBN,result,price_paperback,price_hardcover,Name,Publisher,CountsOfReview,PublishYear,Authors,Rating,Description,Count of text reviews,PagesNumber,RatingDistTotal_split,RatingDist1_final,RatingDist2_final,RatingDist3_final,RatingDist4_final,RatingDist5_final
27,3423210796,"(['  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $13.04  \n\n\n   \n     7 Used from $7.25         3 New from $65.93      ', '  Paperback  \n $9.85  \n\n\n   \n     4 Used from $9.85      ', '  MP3 CD  \n $17.64  \n\n\n   \n     1 Used from $17.64         9 New from $15.83      ', '  Pocket Book  \n    \n                             from $12.95                \n\n\n   \n     1 Used from $12.95      '], '3423210796')",9.85,13.04,Der Name der Rose,Deutscher Taschenbuch Verlag,6,2008,Umberto Eco,4.12,"Daß er in den Mauern der prächtigen Benediktinerabtei an den Hängen des Apennin das Echo eines verschollenen Lachens hören würde, das hell und klassisch herüberklingt aus der Antike, damit hat der englische Franziskanermönch William von Baskerville nicht gerechnet. Zusammen mit Adson von Melk, seinem etwas tumben, jugendlichen Adlatus, ist er in einer höchst delikaten politischen Mission unterwegs. Doch in den sieben Tagen ihres Aufenthalts werden die beiden mit kriminellen Ereignissen und drastischen Versuchungen konfrontiert: Ein Mönch ist im Schweineblutbottich ertrunken, ein anderer aus dem Fenster gesprungen, ein dritter wird tot im Badehaus gefunden. Aber nicht umsonst stand William lange Jahre im Dienste der heiligen Inquisition. Das Untersuchungsfieber packt ihn. Er sammelt Indizien, entziffert magische Zeichen, entschlüsselt Manuskripte und dringt immer tiefer in ein geheimnisvolles Labyrinth vor, über das der blinde Seher Jorge von Burgos wacht",,688.0,296067,6313,13169,46230,101969,128386
29,0446403989,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $14.99  \n\n\n   \n     70 Used from $1.99         6 New from $8.78         2 Collectible from $9.18      ', '  Paperback  \n $5.15  \n\n\n   \n     30 Used from $1.18         1 New from $18.95      ', '  Mass Market Paperback  \n $9.96  \n\n\n   \n     8 Used from $3.45         1 New from $9.96      ', '  Audio CD  \n $39.65  \n\n\n   \n     2 New from $19.99      '], '0446403989')",5.15,14.99,Exit the Milkman (Professor Peter Shandy Mystery #10),Warner Books (NY),3,1997,Charlotte MacLeod,3.83,"Prof. Jim Feldster will do anything for his cows and his students of dairy management. . . and anything to avoid an evening at home with his bossy, house-proud wife, Mirelle. But on his way to a meeting of the Scarlet Runners, he disappears. Where is Professor Feldster? What dark secrets could possibly be lurking behind his life of grain supplements and electric milking machines?",,256.0,561,12,41,125,235,148
31,1423106407,"(['  Kindle  \n $6.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $9.28  \n\n\n   \n     45 Used from $0.50         11 New from $4.99         6 Collectible from $4.99      ', '  Paperback  \n $11.99  \n\n\n   \n     41 Used from $1.37         1 New from $24.99      ', '  MP3 CD  \n $24.95  \n\n\n   \n     1 Used from $10.98         1 New from $24.95      '], '1423106407')",11.99,9.28,"The Challenge (Steel Trapp, #1)","Little, Brown Books for Young Readers",123,2008,Ridley Pearson,3.85,"<br />In this riveting thriller, 14-year-old Steven ""Steel"" Trapp sets off with his mom and their dog, Cairo, on a 2-day Amtrak journey to compete in the National Science Competition in Washington, DC. Steel is both blessed and cursed with a remarkable photographic memory--just one look and whatever he sees is imprinted for keeps. Trying to be a good Samaritan on the train, he instead becomes embroiled in an ingenious, international plot of kidnapping and bribery that may have links to terrorists. Federal agents (first seen in Pearson's adult thriller, ""Cut and Run"") track Steel and his new-found science geek accomplice, Kaileigh Augustine, as they attempt to put together the pieces of a complex puzzle. Using Steel's science contest invention--and with the help of Cairo--Steel and Kaileigh lead readers on an action-packed chase adventure as they attempt to prevent the unimaginable, before it's too late.<br />",,336.0,1707,39,118,440,573,537
33,0312385293,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $31.50  \n\n\n   \n     35 Used from $1.75         3 New from $22.80         13 Collectible from $9.95      ', '  Paperback  \n $24.99  \n\n\n   \n     36 Used from $1.95         13 New from $18.61      ', '  Mass Market Paperback  \n $7.02  \n\n\n   \n     25 Used from $1.35         1 New from $9.00      ', '  Audio CD  \n $39.95  \n\n\n   \n     2 New from $19.97      '], '0312385293')",24.99,31.5,"Catilina's Riddle (Roma Sub Rosa, #3)",Minotaur Books,10,2008,Steven Saylor,4.1,"Using scholarly, historical insight, and evocative storytelling that brings to life the glories of ancient Rome, Steven Saylor takes the reader from the bloody lines of clashing Roman armies to the backrooms of the Senate floor, where power-hungry politicians wrestle the Fates for control of Rome's destiny. <br /><br />With the consular election drawing near, Rome is fiercely divided between the conservative Cicero and the tempestuous Catilina, whose followers are rumored to be plotting a blood-thirsty siege for power if their leader fails to win office.<br /><br />Gordianus the Finder, retired to his Etruscan farm, is happy to be free of the intrigue and danger of the capital, but when his old friend Cicero enlists the Finder in an elaborate plot to control Catilina, Gordianus is drawn back into a familiar world. Now caught in a cloak-and-dagger political struggle for the fate of the Republic, Gordianus finds himself strangely drawn to the controversial candidate. Is Catilina really a subversive renegade, or are Cicero suspicions part of an even greater conspiracy? When a headless corpse ominously appears on his farm, Gordianus knows he must unlock the secret of <i>Catilina's Riddle</i> before Rome tears herself apart.",,511.0,3615,12,113,659,1564,1267
35,8498168783,"(['  Kindle  \n $0.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $18.00  \n\n\n   \n     1 New from $18.00      ', '  Paperback  \n $14.57  \n\n\n   \n     1 Used from $19.26         2 New from $7.95      '], '8498168783')",14.57,18.0,Cuentos de amor de locura y de muerte,Linkgua,0,2014,Horacio Quiroga,4.05,"Horacio Silvestre Quiroga Forteza (Salto, 31 de diciembre de 1878-Buenos Aires, 19 de febrero de 1937). Uruguay. Era hijo del vicecónsul argentino en Salto quien descendía del caudillo riojano Facundo Quiroga. Desde pequeño vivió acontecimientos trágicos: a los tres meses de edad, su padre murió de un disparo accidental de su propia escopeta en su presencia. En 1891 su madre se volvió a casar —esta vez con Ascencio Barcos—, y Quiroga estableció profundos vínculos afectivos con éste. Sin embargo, tras cinco años de matrimonio, Barcos, que sufría una parálisis provocada por un derrame cerebral, se suicidó. Más tarde Quiroga terminó en Montevideo la enseñanza secundaria. Adquirió formación técnica, en el Instituto Politécnico de Montevideo, y general en el Colegio Nacional. En 1898 se enamoró de María Esther Jurkovski, que inspiraría dos obras suyas: Las sacrificadas y Una estación de amor. Por esos tiempos Quiroga comenzó a colaborar en el semanario Gil Blas y estableció amistad con el escritor argentino Leopoldo Lugones, que fue una de sus principales influencias. Hacia 1900 Quiroga se fue a París tras recibir la herencia de su padre. Horacio Silvestre Quiroga Forteza (Salto, 31 de diciembre de 1878-Buenos Aires, 19 de febrero de 1937). Uruguay. Era hijo del vicecónsul argentino en Salto quien descendía del caudillo riojano Facundo Quiroga. Desde pequeño vivió acontecimientos trágicos: a los tres meses de edad, su padre murió de un disparo accidental de su propia escopeta en su presencia. En 1891 su madre se volvió a casar —esta vez con Ascencio Barcos—, y Quiroga estableció profundos vínculos afectivos con éste. Sin embargo, tras cinco años de matrimonio, Barcos, que sufría una parálisis provocada por un derrame cerebral, se suicidó. Más tarde Quiroga terminó en Montevideo la enseñanza secundaria. Adquirió formación técnica, en el Instituto Politécnico de Montevideo, y general en el Colegio Nacional. En 1898 se enamoró de María Esther Jurkovski, que inspiraría dos obras suyas: Las sacrificadas y Una estación de amor. Por esos tiempos Quiroga comenzó a colaborar en el semanario Gil Blas y estableció amistad con el escritor argentino Leopoldo Lugones, que fue una de sus principales influencias. Hacia 1900 Quiroga se fue a París tras recibir la herencia de su padre. Al volver, fundó el «Consistorio del Gay Saber», un laboratorio literario donde ensayaron nuevas formas de expresión. Tras la aparición de su primer libro (Los arrecifes de coral) murieron dos de sus hermanos víctimas del tifus. Ese mismo año su amigo Federico Ferrando, que había recibido fuertes críticas del periodista Germán Papini, decidió retar a duelo a aquél. Quiroga se ofreció para preparar el revólver que iba a ser utilizado en el duelo y mientras revisaba el arma se le escapó un disparo que mató a Federico. Abatido, Quiroga cruzó el Río de la Plata en 1902 y fue a vivir con María, otra de sus hermanas. En 1903, acompañó como fotógrafo a Lugones en una expedición para investigar unas ruinas de las misiones jesuíticas. La visión de la jungla marcaría su vida, seis meses después compró unos campos de algodón en el Chaco. El proyecto fracasó. Y, sin embargo, en 1906 decidió volver otra vez a la selva y comprar otra finca. Por entonces Quiroga se enamoró de una alumna suya —la adolescente Ana María Cires—;y le dedicó su primera novela, titulada Historia de un amor turbio, se casó con ella y la llevó a vivir a la selva. En 1911 Ana María dio a luz asistida por Quiroga a su primera hija, Eglé Quiroga, en su casa de la selva. Sin embargo, ella no se adaptaba a aquella vida y le pidió Quiroga que regresaran a Buenos Aires. Ante la negativa de éste, Ana María se envenenó en 1915. Durante 1917, Quiroga vivió con sus hijos en un sótano de la avenida Canning, alternando su trabajo como diplomático y la escritura de relatos publicados en revistas. La mayoría de estos fueron recogidos en libros, el primero de los cuales fue Cuentos de amor de locura y de muerte (sic, título sin coma), que tuvo gran éxito de público y de crítica. Al año siguiente apareció Cuentos de la selva, colección de relatos infantiles protagonizados por animales y ambientados en la selva. Quiroga dedicó este libro a sus hijos, que lo acompañaron durante ese período de pobreza. Hacia 1927, había decidido criar y domesticar animales salvajes, mientras publicaba su nuevo libro de cuentos, Los desterrados. Se había obsesionado con María Elena Bravo, adolescente compañera de clase de su hija Eglé, que cedió a sus reclamos. A partir de 1932 Quiroga vivió en Misiones con María Elena y su tercera hija. Por entonces le diagnosticaron hipertrofia de próstata. Agravada su dolencia, Quiroga viajó a Buenos Aires y allí descubrieron que tenía un cáncer de próstata avanzado. Recluido en el hospital supo que en los sótanos vivía apartado un paciente con deformidades similares a las del Hombre Elefante. Quiroga exigió que el paciente —llamado Vicente Batistessa— compartiese habitación con él. El 19 de febrero de 1937 y en presencia de Batistessa, murió Horacio Quiroga tras beber un vaso de cianuro. casó con ella y la llevó a vivir a la selva. En 1911 Ana María dio a luz asistida por Quiroga a su primera hija, Eglé Quiroga, en su casa de la selva. Sin embargo, ella no se adaptaba a aquella vida y le pidió Quiroga que regresaran a Buenos Aires. Ante la negativa de éste, Ana María se envenenó en 1915. Durante 1917, Quiroga vivió con sus hijos en un sótano de la avenida Canning, alternando su trabajo como diplomático y la escritura de relatos publicados en revistas. La mayoría de estos fueron recogidos en libros, el primero de los cuales fue Cuentos de amor de locura y de muerte (sic, título sin coma), que tuvo gran éxito de público y de crítica. Al año siguiente apareció Cuentos de la selva, colección de relatos infantiles protagonizados por animales y ambientados en la selva. Quiroga dedicó este libro a sus hijos, que lo acompañaron durante ese período de pobreza. Hacia 1927, había decidido criar y domesticar animales salvajes, mientras publicaba su nuevo libro de cuentos, Los desterrados. Se había obsesionado con María Elena Bravo, adolescente compañera de clase de su hija Eglé, que cedió a sus reclamos. A partir de 1932 Quiroga vivió en Misiones con María Elena y su tercera hija. Por entonces le diagnosticaron hipertrofia de próstata. Agravada su dolencia, Quiroga viajó a Buenos Aires y allí descubrieron que tenía un cáncer de próstata avanzado. Recluido en el hospital supo que en los sótanos vivía apartado un paciente con deformidades similares a las del Hombre Elefante. Quiroga exigió que el paciente —llamado Vicente Batistessa— compartiese habitación con él. El 19 de febrero de 1937 y en presencia de Batistessa, murió Horacio Quiroga tras beber un vaso de cianuro.",,170.0,11445,146,487,2218,4340,4254
40,0385729758,"(['  Kindle  \n $8.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $9.04  \n\n\n   \n     17 Used from $1.99         2 New from $9.04      ', '  Paperback  \n $14.27  \n\n\n   \n     15 Used from $3.87         9 New from $9.59      ', '  Mass Market Paperback  \n $5.99  \n\n\n   \n     11 Used from $1.75         1 New from $5.99      ', '  Audio CD  \n $5.80  \n\n\n   \n     1 New from $5.80      '], '0385729758')",14.27,9.04,"Girls Under Pressure (Girls Trilogy, Bk. 2)",Delacorte Books for Young Readers,0,2002,Jacqueline Wilson,3.68,"Ellie is frantic. Her two best friends seem to be living life in the fast lane while she putters along the curb. Glamorous blond Magda has got a thousand cute boys buzzing around her, and Goth girl Nadine has just been asked to take part in a national teen modeling contest. All Ellie has are massive panic attacks about her weight. So she decides to go on a diet. But instead of counting calories, Ellie just tries to stop eating altogether. Soon she's starving, miserable, and lying all the time to her friends and family. Luckily, a frightening encounter with a real anorectic, and an encouraging dose of art history from a handsome new teacher (""Beauty is just fashion. Male artists have used beautiful women throughout the centuries but their sizes and proportions keep changing"") help Ellie realize that size is just a state of mind. <p> In this second installment of the Girls trilogy, fabulous British author Jacqueline Wilson keeps her trademark funny bone firmly in place while simultaneously raising some sobering questions about issues like eating disorders and teens' overemphasis on appearance. Despite the laughs, Ellie very nearly lapses into anorexia, Magda gets a scare when her chronic flirting almost leads to date rape, and Nadine realizes that the modeling business could care less about her individuality or intellect. Wrapping serious messages in a sugary comical coating is always the best way to make the medicine go down. Recommended for those teen female readers who want something both funny <i>and</i> filling. (Ages 12 and older) <i>--Jennifer Hubert</i></p>",,224.0,6884,148,665,2168,2132,1771
41,0027111008,"(['  Kindle  \n $4.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $4.95  \n\n\n   \n     29 Used from $4.95         3 New from $26.66         1 Collectible from $19.95      ', '  Paperback  \n $5.99  \n\n\n   \n     51 Used from $0.75         24 New from $3.99      '], '0027111008')",5.99,4.95,The Pain and the Great One,Atheneum Books,2,1984,Judy Blume,4.0,"An eight-year-old girl, ""The Great One, "" and her six-year-old brother, ""The Pain, "" state their cases about each other and who is best loved by their parents.""Vibrant watercolors add depth and humor to a valuable book on sibling relationships.""-- ""School Library Journal.""<br /><br />An IRA-CBC Children's Choice.",,32.0,2069,21,87,532,660,769
44,1597223174,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $38.91  \n\n\n   \n     1 Used from $38.91      ', '  Paperback  \n $9.99  \n\n\n   \n     104 Used from $0.99         18 New from $4.00         2 Collectible from $7.95      ', '  Audio CD  \n $99.00  \n\n\n   \n     19 Used from $10.46         2 New from $96.92      '], '1597223174')",9.99,38.91,"Skeleton Coast (Oregon Files, #4)",Wheeler Publishing,0,2006,Clive Cussler,4.13,"The latest entry in the New York Times bestselling Oregon Files series. A priceless treasure under the sea, a merciless threat on the surface--Juan Cabrillo can handle both.",,681.0,9293,38,209,1710,3856,3480
46,0671201530,"(['  Kindle  \n $8.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $29.95  \n\n\n   \n     1 Used from $37.63         3 New from $29.95      ', '  Paperback  \n $9.99  \n\n\n   \n     56 Used from $1.28         1 New from $9.90         3 Collectible from $3.00      ', '  Mass Market Paperback  \n $9.28  \n\n\n   \n     8 Used from $8.24         3 New from $48.98      '], '0671201530')",9.99,29.95,The Forest People,Touchstone Books,3,1983,Colin M. Turnbull,3.94,,,295.0,2156,26,116,501,836,677
47,0312962444,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $18.99  \n\n\n   \n     31 Used from $1.95         7 New from $3.00         9 Collectible from $3.98      ', '  Paperback  \n $199.98  \n\n\n   \n     4 Used from $199.98      ', '  Mass Market Paperback  \n $7.80  \n\n\n   \n     57 Used from $1.89         1 Collectible from $24.95      ', '  Audio, Cassette  \n $9.87  \n\n\n   \n     3 Used from $9.87      '], '0312962444')",199.98,18.99,"The Judgment (Charley Sloan, #3)",St. Martin's Paperbacks,13,1999,William J. Coughlin,4.13,"<b>The death of innocence</b><br /><br />In a rural area outside of Detroit, bodies are being found in the snow. One after another. Neatly washed, wrapped in platic, methodically laid out like sleeping angels. And very, very young.<br /><br /><b>The birth of evil</b><br /><br />Forty miles away and at the other end of the world, an honest cop, the deputy chief chief of police, has been framed for a corruption charge. In a world of big-city politics, he wants ace lawyer Charley Sloan to get him off.<br /><br /><b>The only hope</b><br /><br />Pulled into the two very different cases, Charley faces the heat of a perplexnig serial murder investigation and the heavey hitters of the Motor City's inner circle. Interviewing witnesses, putting together clues, Charley Sloan, a man who has been at the bottom and at the top, is about to uncover the explosive difference between true innocence-and the most dangerous guilt of all...<br /><br /><b>The Judgement</b><br />",,424.0,898,9,39,140,346,364
49,0816137870,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $17.00  \n\n\n   \n     1 Used from $17.00      ', '  Paperback  \n $6.74  \n\n\n   \n     8 Used from $2.75      ', '  Mass Market Paperback  \n $15.00  \n\n\n   \n     26 Used from $2.29         1 New from $15.00         2 Collectible from $20.00      '], '0816137870')",6.74,17.0,The grey beginning,G. K. Hall & Company,0,1985,Barbara Michaels,3.68,"Hoping that a trip to her late husband's childhood home will help her come to terms with his recent death, Kathy Malone travels to the rolling hills of Tuscany. But there, instead of solace, Kathy finds a lonely boy named Pietro, uncanny hints about her late husband, and the stately Contessa Morandini, whose chilly reception warms only when she mistakenly assumes Kathy is pregnant with the next heir of the Morandini line.",,354.0,1012,12,77,354,349,220
50,0739321196,"(['  Kindle  \n $8.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $12.32  \n\n\n   \n     188 Used from $1.18         33 New from $4.98         4 Collectible from $4.22      ', '  Paperback  \n $14.00  \n\n\n   \n     23 Used from $3.50         11 New from $9.31      ', '  Mass Market Paperback  \n $8.99  \n\n\n   \n     113 Used from $1.33         10 New from $5.00         3 Collectible from $7.49      ', '  Audio CD  \n $5.12  \n\n\n   \n     11 Used from $4.80         1 Collectible from $102.71      ', '  Digital  \n    \n                        \n    —\n             \n\n\n   \n  '], '0739321196')",14.0,12.32,Toxic Bachelors,RH Audio,2,2005,Danielle Steel,3.68,"Danielle Steel explores the perils of dating, relationships, and love in a novel that takes us into the intoxicating, infuriating world of three charming single men, also known as…<br /> <br /> <b>Toxic Bachelors</b><br /> <br /> They were the best of friends and the most daunting of bachelors....Charlie Harrington, a handsome philanthropist, has such high expectations for his perfect bride that no mortal need apply....Adam Weiss, a forty-something celebrity lawyer, prefers his women very young, very voluptuous, and very short-term….And for Gray Hawk, a gifted artist with a knack for attracting troubled relationships, women are fine; it’s just the idea of family he can’t imagine (particularly the family of the woman he’s dating). <br /> <br /> Now the three friends, spending their annual summer vacation cruising the Mediterranean aboard Charlie’s majestic yacht, are about to have their bachelorhood rocked. By autumn all three will fall precipitously into relationships they never saw coming. Charlie begins dating a crusading social worker who couldn’t be further from his ideal–until he makes a stunning discovery about her. Adam gets involved with his usual twenty-something bombshell–only this one has a remarkable mind of her own. And Gray, who has avoided both business and family like the plague, has managed to fall head over heels for a successful career woman– who just happens to be a mother as well.<br /> <br /> As another holiday on the yacht approaches, and with it a turning point in each man’s life, the three bachelors are forced to face the things that scare them most: their phobias about relationships, the wounds of the past–and the kind of women who challenge their deepest terrors. What happens next will spark big changes for Charlie, Adam, and Gray–and might just put an end to their carousing days forever. For as the once-carefree trio is about to discover, love is the most unpredictable adventure of all.<br /> <br /> Filled with all the joy, complexity, and unexpected surprises of life, <b>Toxic Bachelors</b> is Danielle Steel at her poignant and penetrating best.<br /><br /><br /><i>From the Hardcover edition.</i>",,0.0,5050,196,502,1477,1400,1475
52,0521235030,"(['  Hardcover  \n $25.97  \n\n\n   \n     6 Used from $19.99      ', '  Paperback  \n $24.95 - $28.99  \n\n\n   \n     5 Used from $19.98         6 New from $24.76      '], '0521235030')",24.95,25.97,Charles Darwin's Beagle Diary,Cambridge University Press,0,1988,Richard D. Keynes,4.03,Here is a fascinating record of one of the most famous journeys ever made. This work constitutes an accurate historical document as well as an evocative travelog that conveys Charles Darwin's personal account of the voyage with freshness and immediacy.,,512.0,6511,85,325,1283,2423,2395
54,0316328863,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $49.00  \n\n\n   \n     41 Used from $1.98         6 New from $42.01         11 Collectible from $2.35      ', '  Paperback  \n $6.09  \n\n\n   \n     3 Used from $6.09      ', '  Mass Market Paperback  \n $21.44  \n\n\n   \n     51 Used from $1.35         6 New from $20.54         1 Collectible from $7.50      '], '0316328863')",6.09,49.0,The Deer Leap (Richard Jury #7),Little Brown and Company,10,1985,Martha Grimes,3.85,"<p>In a village plagued by missing pets, Scotland Yard's Richard Jury and sidekick Melrose Plant face the worst of human nature when a chilling old crime leads them to a brand new way to die.</p>",,236.0,3065,9,146,880,1291,739
56,0394580117,"(['  Hardcover  \n $27.51  \n\n\n   \n     39 Used from $1.35         4 New from $27.51         2 Collectible from $33.00      ', '  Paperback  \n $15.95  \n\n\n   \n     1 New from $15.95      '], '0394580117')",15.95,27.51,The Complete Book of Pregnancy and Childbirth,Knopf,1,1980,Sheila Kitzinger,4.07,"Classic guide to pregnancy, labor, and early parenthood now fully revised and expanded to meet the needs of today's parents-to-be. An up-to-date manual of physical and emotional preparation for giving birth. Index.",,400.0,1075,8,37,207,442,381
58,1400102367,"(['  Kindle  \n $8.79  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $8.44 - $19.58  \n\n\n   \n     96 Used from $1.75         18 New from $9.00         5 Collectible from $7.50      ', '  Paperback  \n $12.95 - $15.95  \n\n\n   \n     43 Used from $1.69         22 New from $10.95      ', '  Audio CD  \n $39.19  \n\n\n   \n     2 Used from $11.26         2 New from $21.99      '], '1400102367')",12.95,8.44,"Peter, Paul & Mary Magdalene: The Followers of Jesus in History & Legend",Tantor Audio,6,2006,Bart D. Ehrman,3.87,"Bart Ehrman, author of the bestsellers Misquoting Jesus and Truth and Fiction in The Da Vinci Code, here takes readers on another engaging tour of the early Christian church, illuminating the lives of three of Jesus' most intriguing followers: Simon Peter, Paul of Tarsus, and Mary Magdalene. What do the writings of the New Testament tell us about each of these key followers of Christ? What legends have sprung up about them in the centuries after their deaths? Was Paul bow-legged and bald? Was Peter crucified upside down? Was Mary Magdalene a prostitute? In this lively work, Ehrman separates fact from fiction, presenting complicated historical issues in a clear and informative way and relating vivid anecdotes culled from the traditions of these three followers. He notes, for instance, that historians are able to say with virtual certainty that Mary, the follower of Jesus, was from the fishing village of Magdala on the shore of the Sea of Galilee; but there is no evidence to suggest that she was a prostitute, and little reason to think that she was married to Jesus. Vibrantly written and leavened with many colorful stories, Peter, Paul, and Mary Magdalene will appeal to anyone curious about the early Christian church and the lives of these important figures.",,0.0,842,8,53,222,320,239
59,0448025442,"(['  Kindle  \n $0.62  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $5.99  \n\n\n   \n     24 Used from $2.00         7 Collectible from $9.95      ', '  Paperback  \n $1.90 - $4.69  \n\n\n   \n     2 Used from $1.90         1 New from $4.69      ', '  Mass Market Paperback  \n $6.49 - $7.99  \n\n\n   \n     156 Used from $0.50         33 New from $4.39         1 Collectible from $72.83      ', '  Audio CD  \n $9.99  \n\n\n   \n     1 New from $9.99      '], '0448025442')",1.9,5.99,"Anne of Avonlea (Anne of Green Gables, #2)",Grosset & Dunlap,0,1970,L.M. Montgomery,4.21,"**This book shares ISBN13 9780448025445 with <a href=""https://www.goodreads.com/book/show/22014307-anne-of-green-gables"" rel=""nofollow noopener"">Anne of Green Gables</a>**<br /><br />The spirited redhead returns in this heartwarming sequel to<i> Anne of Green Gables</i>. Now she's the schoolma'am in the same place where she was a student, and not much older than her pupils. Anne's determination provides the same ""scope for imagination"" that made this book's predecessor a treasure for young readers.",,299.0,140543,1224,3417,21844,51542,62516
60,8466629556,"(['  Hardcover  \n $37.38  \n\n\n   \n     2 Used from $37.38         1 New from $46.73      ', '  Paperback  \n $7.49  \n\n\n   \n     5 Used from $3.51      ', '  Mass Market Paperback  \n $5.56  \n\n\n   \n     3 Used from $5.56         4 New from $15.87      ', '  Flexibound  \n    \n                             from $30.04                \n\n\n   \n     2 Used from $30.04      '], '8466629556')",7.49,37.38,La Mirada de una Mujer,Byblos,6,2007,Marc Levy,3.63,,,269.0,6102,231,646,1790,1906,1529
